date,meter_location_en,equipment_name_en,shift_label,interval_energy_kwh,energy_day_kwh,energy_night_kwh
2021-01-17,Panel LV12,Đồng hồ đo tổng Electrical panel khu vực chế biến dăm,Day,35.196218000001586,35.196218000001586,0.0
2021-01-17,Panel LV12,Đồng hồ đo tổng Electrical panel khu vực chế biến dăm,Night,25.806032999999946,0.0,25.806032999999946
2021-01-18,Panel LV11,Đồng hồ đo tổng Electrical panel Chipper,Day,0.20793599999980839,0.20793599999980839,0.0
2021-01-18,Panel LV11,Đồng hồ đo tổng Electrical panel Chipper,Night,0.10368400000010015,0.0,0.10368400000010015
2021-01-18,Panel LV12,Đồng hồ đo tổng Electrical panel khu vực chế biến dăm,Day,18.614108999990137,18.614108999990137,0.0
2021-01-18,Panel LV12,Đồng hồ đo tổng Electrical panel khu vực chế biến dăm,Night,11.575966000001937,0.0,11.575966000001937
2021-01-19,Panel LV11,Đồng hồ đo tổng Electrical panel Chipper,Day,0.4678559999995689,0.4678559999995689,0.0
2021-01-19,Panel LV11,Đồng hồ đo tổng Electrical panel Chipper,Night,0.10240000000020481,0.0,0.10240000000020481
2021-01-19,Panel LV12,Đồng hồ đo tổng Electrical panel khu vực chế biến dăm,Day,20.797556000011312,20.797556000011312,0.0
2021-01-19,Panel LV12,Đồng hồ đo tổng Electrical panel khu vực chế biến dăm,Night,8.45971800000006,0.0,8.45971800000006
2021-01-20,Panel LV11,Đồng hồ đo tổng Electrical panel Chipper,Day,0.2948489999999568,0.2948489999999568,0.0
2021-01-20,Panel LV11,Đồng hồ đo tổng Electrical panel Chipper,Night,0.02280099999993664,0.0,0.02280099999993664
2021-01-20,Panel LV12,Đồng hồ đo tổng Electrical panel khu vực chế biến dăm,Day,21.006596000000943,21.006596000000943,0.0
2021-01-20,Panel LV12,Đồng hồ đo tổng Electrical panel khu vực chế biến dăm,Night,19.05900299999628,0.0,19.05900299999628
2021-01-21,Panel LV11,Đồng hồ đo tổng Electrical panel Chipper,Day,0.5112250000000302,0.5112250000000302,0.0
2021-01-21,Panel LV11,Đồng hồ đo tổng Electrical panel Chipper,Night,0.0,0.0,0.0
2021-01-21,Panel LV12,Đồng hồ đo tổng Electrical panel khu vực chế biến dăm,Day,16.18661100000257,16.18661100000257,0.0
2021-01-21,Panel LV12,Đồng hồ đo tổng Electrical panel khu vực chế biến dăm,Night,12.635230000001858,0.0,12.635230000001858
2021-01-28,Panel LV11,Đồng hồ đo tổng Electrical panel Chipper,Day,0.16321600000005732,0.16321600000005732,0.0
2021-01-28,Panel LV11,Đồng hồ đo tổng Electrical panel Chipper,Night,0.43559999999984544,0.0,0.43559999999984544
2021-01-28,Panel LV12,Đồng hồ đo tổng Electrical panel khu vực chế biến dăm,Day,16.82133600000819,16.82133600000819,0.0
2021-01-28,Panel LV12,Đồng hồ đo tổng Electrical panel khu vực chế biến dăm,Night,16.38758300000096,0.0,16.38758300000096
2021-01-29,Panel LV11,Đồng hồ đo tổng Electrical panel Chipper,Day,0.11289599999962895,0.11289599999962895,0.0
2021-01-29,Panel LV11,Đồng hồ đo tổng Electrical panel Chipper,Night,0.25401600000028424,0.0,0.25401600000028424
2021-01-29,Panel LV12,Đồng hồ đo tổng Electrical panel khu vực chế biến dăm,Day,25.761146000011788,25.761146000011788,0.0
2021-01-29,Panel LV12,Đồng hồ đo tổng Electrical panel khu vực chế biến dăm,Night,16.475925000001666,0.0,16.475925000001666
2021-01-30,Panel LV11,Đồng hồ đo tổng Electrical panel Chipper,Day,0.17056900000036407,0.17056900000036407,0.0
2021-01-30,Panel LV11,Đồng hồ đo tổng Electrical panel Chipper,Night,0.4596839999996398,0.0,0.4596839999996398
2021-01-30,Panel LV12,Đồng hồ đo tổng Electrical panel khu vực chế biến dăm,Day,21.310116999996385,21.310116999996385,0.0
2021-01-30,Panel LV12,Đồng hồ đo tổng Electrical panel khu vực chế biến dăm,Night,18.173295000001314,0.0,18.173295000001314
2021-01-31,Panel LV11,Đồng hồ đo tổng Electrical panel Chipper,Day,0.0,0.0,0.0
2021-01-31,Panel LV11,Đồng hồ đo tổng Electrical panel Chipper,Night,0.0,0.0,0.0
2021-01-31,Panel LV12,Đồng hồ đo tổng Electrical panel khu vực chế biến dăm,Day,40.08690000000676,40.08690000000676,0.0
2021-01-31,Panel LV12,Đồng hồ đo tổng Electrical panel khu vực chế biến dăm,Night,10.609830000000096,0.0,10.609830000000096
2021-02-01,Panel LV11,Đồng hồ đo tổng Electrical panel Chipper,Day,0.25200400000000245,0.25200400000000245,0.0
2021-02-01,Panel LV11,Đồng hồ đo tổng Electrical panel Chipper,Night,0.39312900000019463,0.0,0.39312900000019463
2021-02-01,Panel LV12,Đồng hồ đo tổng Electrical panel khu vực chế biến dăm,Day,24.776113999997666,24.776113999997666,0.0
2021-02-01,Panel LV12,Đồng hồ đo tổng Electrical panel khu vực chế biến dăm,Night,17.525790000001766,0.0,17.525790000001766
