date,meter_location_en,equipment_name_en,period_std,interval_energy_kwh
2021-01-29,Panel LV12,Đồng hồ đo tổng Electrical panel khu vực chế biến dăm,Peak,1.8784659999976294
2021-01-30,Panel LV11,Đồng hồ đo tổng Electrical panel Chipper,Peak,0.630253000000004
2021-01-30,Panel LV12,Đồng hồ đo tổng Electrical panel khu vực chế biến dăm,Normal,24.831877999999794
2021-01-30,Panel LV12,Đồng hồ đo tổng Electrical panel khu vực chế biến dăm,Off-peak,12.503400999999855
2021-01-30,Panel LV12,Đồng hồ đo tổng Electrical panel khu vực chế biến dăm,Peak,2.1481329999980527
2021-01-31,Panel LV11,Đồng hồ đo tổng Electrical panel Chipper,Peak,0.0
2021-01-31,Panel LV12,Đồng hồ đo tổng Electrical panel khu vực chế biến dăm,Normal,43.117880000001044
2021-01-31,Panel LV12,Đồng hồ đo tổng Electrical panel khu vực chế biến dăm,Off-peak,7.5788500000058105
2021-01-31,Panel LV12,Đồng hồ đo tổng Electrical panel khu vực chế biến dăm,Peak,0.0
2021-02-01,Panel LV11,Đồng hồ đo tổng Electrical panel Chipper,Peak,0.6451330000001971
2021-02-01,Panel LV12,Đồng hồ đo tổng Electrical panel khu vực chế biến dăm,Normal,27.261072999993445
2021-02-01,Panel LV12,Đồng hồ đo tổng Electrical panel khu vực chế biến dăm,Off-peak,11.88627700000471
2021-02-01,Panel LV12,Đồng hồ đo tổng Electrical panel khu vực chế biến dăm,Peak,3.1545540000012773
2021-02-02,Panel LV11,Đồng hồ đo tổng Electrical panel Chipper,Peak,0.6541300000002023
2021-02-02,Panel LV12,Đồng hồ đo tổng Electrical panel khu vực chế biến dăm,Normal,25.39228599999527
2021-02-02,Panel LV12,Đồng hồ đo tổng Electrical panel khu vực chế biến dăm,Off-peak,13.126096000003207
2021-02-02,Panel LV12,Đồng hồ đo tổng Electrical panel khu vực chế biến dăm,Peak,2.3521599999984466
2021-02-03,Panel LV11,Đồng hồ đo tổng Electrical panel Chipper,Peak,0.4932039999998552
2021-02-03,Panel LV12,Đồng hồ đo tổng Electrical panel khu vực chế biến dăm,Normal,19.469347000001985
2021-02-03,Panel LV12,Đồng hồ đo tổng Electrical panel khu vực chế biến dăm,Off-peak,12.394849999999186
2021-02-03,Panel LV12,Đồng hồ đo tổng Electrical panel khu vực chế biến dăm,Peak,1.9972900000012355
2021-02-04,Panel LV11,Đồng hồ đo tổng Electrical panel Chipper,Peak,0.31825699999973
2021-02-04,Panel LV12,Đồng hồ đo tổng Electrical panel khu vực chế biến dăm,Normal,29.80898999999569
2021-02-04,Panel LV12,Đồng hồ đo tổng Electrical panel khu vực chế biến dăm,Off-peak,10.930025
2021-02-04,Panel LV12,Đồng hồ đo tổng Electrical panel khu vực chế biến dăm,Peak,2.594656999998188
2021-02-05,Panel LV11,Đồng hồ đo tổng Electrical panel Chipper,Peak,0.0
2021-02-05,Panel LV12,Đồng hồ đo tổng Electrical panel khu vực chế biến dăm,Normal,2.301952999997117
2021-02-05,Panel LV12,Đồng hồ đo tổng Electrical panel khu vực chế biến dăm,Off-peak,8.26421000000696
2021-02-05,Panel LV12,Đồng hồ đo tổng Electrical panel khu vực chế biến dăm,Peak,0.29524500000095477
2021-02-08,Panel LV11,Đồng hồ đo tổng Electrical panel Chipper,Peak,1.0679849999996887
2021-02-08,Panel LV12,Đồng hồ đo tổng Electrical panel khu vực chế biến dăm,Normal,17.78909499999041
2021-02-08,Panel LV12,Đồng hồ đo tổng Electrical panel khu vực chế biến dăm,Off-peak,9.957361000001596
2021-02-08,Panel LV12,Đồng hồ đo tổng Electrical panel khu vực chế biến dăm,Peak,2.9932999999995693
2021-02-09,Panel LV11,Đồng hồ đo tổng Electrical panel Chipper,Peak,0.5154440000000613
2021-02-09,Panel LV12,Đồng hồ đo tổng Electrical panel khu vực chế biến dăm,Normal,34.656761999993485
2021-02-09,Panel LV12,Đồng hồ đo tổng Electrical panel khu vực chế biến dăm,Off-peak,11.145748000005588
2021-02-09,Panel LV12,Đồng hồ đo tổng Electrical panel khu vực chế biến dăm,Peak,1.9321760000016879
2021-02-10,Panel LV11,Đồng hồ đo tổng Electrical panel Chipper,Peak,0.7155620000004989
2021-02-10,Panel LV12,Đồng hồ đo tổng Electrical panel khu vực chế biến dăm,Normal,30.578069999993808
2021-02-10,Panel LV12,Đồng hồ đo tổng Electrical panel khu vực chế biến dăm,Off-peak,11.82904900000221
2021-02-10,Panel LV12,Đồng hồ đo tổng Electrical panel khu vực chế biến dăm,Peak,1.8206890000019251
2021-02-11,Panel LV11,Đồng hồ đo tổng Electrical panel Chipper,Peak,0.9238819999996285
2021-02-11,Panel LV12,Đồng hồ đo tổng Electrical panel khu vực chế biến dăm,Normal,23.96684200000166
