date,meter_location_en,equipment_name_en,energy_kwh
2021-03-22,Panel LV12,Đồng hồ đo tổng Electrical panel khu vực chế biến dăm,42.35863299999389
2021-03-23,Panel LV11,Đồng hồ đo tổng Electrical panel Chipper,0.26570000000009025
2021-03-23,Panel LV12,Đồng hồ đo tổng Electrical panel khu vực chế biến dăm,47.49862899998444
2021-03-24,Panel LV11,Đồng hồ đo tổng Electrical panel Chipper,0.6230919999999232
2021-03-24,Panel LV12,Đồng hồ đo tổng Electrical panel khu vực chế biến dăm,43.8224049999979
2021-03-25,Panel LV11,Đồng hồ đo tổng Electrical panel Chipper,1.1311119999997814
2021-03-25,Panel LV12,Đồng hồ đo tổng Electrical panel khu vực chế biến dăm,48.71611599999819
2021-03-26,Panel LV11,Đồng hồ đo tổng Electrical panel Chipper,0.9553000000007679
2021-03-26,Panel LV12,Đồng hồ đo tổng Electrical panel khu vực chế biến dăm,46.82668299999454
2021-03-27,Panel LV11,Đồng hồ đo tổng Electrical panel Chipper,0.7638009999999208
2021-03-27,Panel LV12,Đồng hồ đo tổng Electrical panel khu vực chế biến dăm,37.60633899999054
2021-03-28,Panel LV11,Đồng hồ đo tổng Electrical panel Chipper,0.0
2021-03-28,Panel LV12,Đồng hồ đo tổng Electrical panel khu vực chế biến dăm,71.03786200000802
2021-03-29,Panel LV11,Đồng hồ đo tổng Electrical panel Chipper,0.4228160000000268
2021-03-29,Panel LV12,Đồng hồ đo tổng Electrical panel khu vực chế biến dăm,40.371545999996805
2021-03-30,Panel LV11,Đồng hồ đo tổng Electrical panel Chipper,1.3640500000004372
2021-03-30,Panel LV12,Đồng hồ đo tổng Electrical panel khu vực chế biến dăm,49.733768999995306
2021-03-31,Panel LV11,Đồng hồ đo tổng Electrical panel Chipper,0.6044840000003238
2021-03-31,Panel LV12,Đồng hồ đo tổng Electrical panel khu vực chế biến dăm,54.00090300000848
2021-04-01,Panel LV11,Đồng hồ đo tổng Electrical panel Chipper,0.440584999999937
2021-04-01,Panel LV12,Đồng hồ đo tổng Electrical panel khu vực chế biến dăm,44.03384999999886
2021-04-02,Panel LV11,Đồng hồ đo tổng Electrical panel Chipper,1.088787999999279
2021-04-02,Panel LV12,Đồng hồ đo tổng Electrical panel khu vực chế biến dăm,38.95938899999564
2021-04-03,Panel LV11,Đồng hồ đo tổng Electrical panel Chipper,0.5754740000004686
2021-04-03,Panel LV12,Đồng hồ đo tổng Electrical panel khu vực chế biến dăm,48.9139619999991
2021-04-04,Panel LV11,Đồng hồ đo tổng Electrical panel Chipper,0.0
2021-04-04,Panel LV12,Đồng hồ đo tổng Electrical panel khu vực chế biến dăm,69.22084599999503
2021-04-05,Panel LV11,Đồng hồ đo tổng Electrical panel Chipper,1.3025169999999928
2021-04-05,Panel LV12,Đồng hồ đo tổng Electrical panel khu vực chế biến dăm,54.376046000004656
2021-04-06,Panel LV11,Đồng hồ đo tổng Electrical panel Chipper,1.5088960000003198
2021-04-06,Panel LV12,Đồng hồ đo tổng Electrical panel khu vực chế biến dăm,48.93247000000128
2021-04-07,Panel LV11,Đồng hồ đo tổng Electrical panel Chipper,1.3303299999993496
2021-04-07,Panel LV12,Đồng hồ đo tổng Electrical panel khu vực chế biến dăm,52.800158000000806
2021-04-08,Panel LV11,Đồng hồ đo tổng Electrical panel Chipper,0.3271209999997513
2021-04-08,Panel LV12,Đồng hồ đo tổng Electrical panel khu vực chế biến dăm,22.06177500000128
2021-04-09,Panel LV11,Đồng hồ đo tổng Electrical panel Chipper,0.7572049999993568
2021-04-09,Panel LV12,Đồng hồ đo tổng Electrical panel khu vực chế biến dăm,43.91261799999884
2021-04-10,Panel LV11,Đồng hồ đo tổng Electrical panel Chipper,1.2046279999992922
2021-04-10,Panel LV12,Đồng hồ đo tổng Electrical panel khu vực chế biến dăm,39.992688000000214
2021-04-11,Panel LV11,Đồng hồ đo tổng Electrical panel Chipper,0.0
2021-04-11,Panel LV12,Đồng hồ đo tổng Electrical panel khu vực chế biến dăm,53.16581699999204
